date,emissions,cluster,t
2019-01-31,0.16917554623655914,2,0
2019-02-28,0.17990630714285713,2,1
2019-03-31,0.16129908655913977,2,2
2019-04-30,0.15498728222222222,0,3
2019-05-31,0.15368875967741935,0,4
2019-06-30,0.15535863722222223,0,5
2019-07-31,0.1619903989247312,2,6
2019-08-31,0.1690580946236559,2,7
2019-09-30,0.16595750055555555,2,8
2019-10-31,0.16421492688172043,2,9
2019-11-30,0.16705682055555557,2,10
2019-12-31,0.16926702365591398,2,11
2020-01-31,0.16942336612903228,2,12
2020-02-29,0.16169773793103448,2,13
2020-03-31,0.14562581559139784,0,14
2020-04-30,0.10770456499999999,1,15
2020-05-31,0.11295233225806452,1,16
2020-06-30,0.12717991444444443,1,17
2020-07-31,0.1369013241935484,0,18
2020-08-31,0.14645235053763442,0,19
2020-09-30,0.14340303444444444,0,20
2020-10-31,0.1428669677419355,0,21
2020-11-30,0.14648381944444444,0,22
2020-12-31,0.1492223252688172,0,23
2021-01-31,0.13998126236559139,0,24
2021-02-28,0.14100155535714287,0,25
2021-03-31,0.14582420430107526,0,26
2021-04-30,0.14297989666666666,0,27
2021-05-31,0.1409187811827957,0,28
2021-06-30,0.14815477722222223,0,29
2021-07-31,0.15184836612903227,0,30
2021-08-31,0.15256833602150538,0,31
2021-09-30,0.1511278261111111,0,32
2021-10-31,0.14518411559139785,0,33
2021-11-30,0.1450432888888889,0,34
2021-12-31,0.14863996075268818,0,35
